city;hotel_brand;Authenticity;Adventure;Community;Creativity;Cool;Fairness;Friendliness;Inner Harmony;Instantaneity;Love;Indulgement;Safety;Service;Status;Trustworthiness
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Paris;Mercure;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0
Paris;Mercure;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0
Paris;Mercure;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Paris;Mercure;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Paris;Mercure;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0
Paris;Mercure;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
Paris;Mercure;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0
Paris;Mercure;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0
Paris;Mercure;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0
Paris;Mercure;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
Paris;Mercure;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
Paris;Mercure;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0
Paris;Mercure;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Paris;Mercure;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Paris;Mercure;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
Paris;Mercure;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0
Paris;Mercure;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Paris;Mercure;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
